Species	SeqID	Sigma	Phi
Vcar	NW_003307545.1	0.531405600934	0.7121212121212122
Vcar	NW_003307546.1	0.530071040985	0.6686217008797654
Vcar	NW_003307547.1	0.543883196111	0.7019498607242339
Vcar	NW_003307548.1	0.504687115358	0.6666666666666666
Vcar	NW_003307549.1	0.481602785413	0.6830188679245283
Vcar	NW_003307550.1	0.513671616075	0.6491935483870968
Vcar	NW_003307551.1	0.552328465263	0.7364864864864865
Vcar	NW_003307552.1	0.486505985404	0.6713780918727915
Vcar	NW_003307553.1	0.540073211124	0.7113821138211383
Vcar	NW_003307554.1	0.572260846518	0.7056451612903226
Vcar	NW_003307555.1	0.387789595114	0.6275510204081632
Vcar	NW_003307556.1	0.52345946641	0.6748971193415638
Vcar	NW_003307557.1	0.468093596264	0.6359649122807017
Vcar	NW_003307558.1	0.571028617114	0.6974789915966386
Vcar	NW_003307559.1	0.461186833846	0.6190476190476191
Vcar	NW_003307560.1	0.562889246891	0.7276785714285714
Vcar	NW_003307561.1	0.567710263307	0.7095435684647303
Vcar	NW_003307562.1	0.431467398665	0.6255924170616114
Vcar	NW_003307563.1	0.410922547305	0.6100917431192661
Vcar	NW_003307564.1	0.432927265188	0.5891089108910891
Vcar	NW_003307565.1	0.405805230499	0.5370370370370371
Vcar	NW_003307566.1	0.529669710597	0.6825396825396826
Vcar	NW_003307567.1	0.531798684333	0.6628571428571428
Vcar	NW_003307568.1	0.478843919861	0.6775956284153005
Vcar	NW_003307569.1	0.452076722512	0.6024844720496895
Vcar	NW_003307570.1	0.471339944698	0.6644736842105263
Vcar	NW_003307571.1	0.381213216092	0.592814371257485
Vcar	NW_003307572.1	0.540739473035	0.6832298136645962
Vcar	NW_003307573.1	0.421429098945	0.5481481481481482
Vcar	NW_003307574.1	0.523193312295	0.6415094339622641
Vcar	NW_003307575.1	0.455949914556	0.5833333333333334
Vcar	NW_003307576.1	0.455257928099	0.6521739130434783
Vcar	NW_003307577.1	0.469497153916	0.6014492753623188
Vcar	NW_003307578.1	0.41485196814	0.6040268456375839
Vcar	NW_003307579.1	0.628379993491	0.7741935483870968
Vcar	NW_003307580.1	0.517240828679	0.6851851851851852
Vcar	NW_003307581.1	0.639910927942	0.7318840579710145
Vcar	NW_003307582.1	0.457296233704	0.643312101910828
Vcar	NW_003307583.1	0.603212440884	0.7483870967741936
Vcar	NW_003307584.1	0.53932916652	0.6739130434782609
Vcar	NW_003307585.1	0.401177931052	0.6194029850746269
Vcar	NW_003307586.1	0.361509381792	0.5916666666666667
Vcar	NW_003307587.1	0.508583506396	0.6717557251908397
Vcar	NW_003307588.1	0.503834402335	0.6796116504854369
Vcar	NW_003307589.1	0.453607118655	0.5980392156862745
Vcar	NW_003307590.1	0.512747240487	0.6481481481481481
Vcar	NW_003307591.1	0.49231686131	0.6825396825396826
Vcar	NW_003307592.1	0.460199226387	0.6238532110091743
Vcar	NW_003307593.1	0.512299483099	0.6727272727272727
Vcar	NW_003307594.1	0.630519382644	0.8235294117647058
Crei	NW_001843471.1	0.592701655066	0.7725752508361204
Crei	NW_001843472.1	0.63591507915	0.8160919540229885
Crei	NW_001843510.1	0.686541462028	0.8861111111111111
Crei	NW_001843537.1	0.599579743523	0.761744966442953
Crei	NW_001843559.1	0.575935312564	0.7586206896551724
Crei	NW_001843572.1	0.651206266479	0.8392282958199357
Crei	NW_001843590.1	0.440628969765	0.6394230769230769
Crei	NW_001843607.1	0.570294430574	0.7583333333333333
Crei	NW_001843620.1	0.465563271139	0.6716417910447762
Crei	NW_001843629.1	0.557819562801	0.7426160337552743
Crei	NW_001843636.1	0.652709426545	0.8203389830508474
Crei	NW_001843642.1	0.566516886277	0.738430583501006
Crei	NW_001843643.1	0.537376119715	0.7676056338028169
Crei	NW_001843653.1	0.459987368941	0.7178217821782178
Crei	NW_001843666.1	0.540707645921	0.7383177570093458
Crei	NW_001843677.1	0.53816810371	0.7055555555555556
Crei	NW_001843688.1	0.547361525766	0.7319148936170212
Crei	NW_001843697.1	0.49053241863	0.6387434554973822
Crei	NW_001843705.1	0.654635015926	0.8292682926829268
Crei	NW_001843709.1	0.550262750772	0.7522935779816514
Crei	NW_001843718.1	0.589998887993	0.7534883720930232
Crei	NW_001843727.1	0.547182626555	0.7225806451612903
Crei	NW_001843733.1	0.624082559751	0.8163672654690619
Crei	NW_001843734.1	0.47329564294	0.6491228070175439
Crei	NW_001843738.1	0.678259730646	0.8931623931623932
Crei	NW_001843747.1	0.66285869173	0.8342245989304813
Crei	NW_001843750.1	0.44245943543	0.5853658536585366
Crei	NW_001843754.1	0.673317980514	0.8079470198675497
Crei	NW_001843759.1	0.471238697745	0.6936936936936937
Crei	NW_001843769.1	0.49820502767	0.7058823529411765
Crei	NW_001843775.1	0.673279908391	0.823943661971831
Crei	NW_001843783.1	0.5860734768	0.782312925170068
Crei	NW_001843787.1	0.554813082884	0.7916666666666666
Crei	NW_001843791.1	0.572890929826	0.760752688172043
Crei	NW_001843834.1	0.56560682442	0.7632183908045977
Crei	NW_001843867.1	0.524911692241	0.7485714285714286
Crei	NW_001843888.1	0.57064213407	0.7789203084832905
Crei	NW_001843939.1	0.644687066035	0.8099415204678363
Crei	NW_001843987.1	0.605611732821	0.8107255520504731
Cvar	NW_005435069.1	0.753796098918	0.9128440366972477
Cvar	NW_005435070.1	0.791145559784	0.9219330855018587
Cvar	NW_005435071.1	0.757429062966	0.9117647058823529
Cvar	NW_005435072.1	0.823281755466	0.95
Cvar	NW_005435073.1	0.766583895596	0.9169675090252708
Cvar	NW_005435074.1	0.790470529326	0.9505813953488372
Cvar	NW_005435075.1	0.718361789779	0.8892857142857142
Cvar	NW_005435076.1	0.753003312355	0.9345549738219895
Cvar	NW_005435077.1	0.66677114276	0.8548387096774194
Cvar	NW_005435078.1	0.778264990967	0.9345238095238095
Cvar	NW_005435079.1	0.759002226976	0.8942598187311178
Cvar	NW_005435080.1	0.751840711748	0.9252577319587629
Cvar	NW_005435081.1	0.772789799199	0.9116279069767442
Cvar	NW_005435082.1	0.705108848177	0.8782816229116945
Cvar	NW_005435083.1	0.753625203899	0.9232209737827716
Cvar	NW_005435084.1	0.822893152921	0.9482071713147411
Cvar	NW_005435085.1	0.781105764763	0.9242685025817556
Cvar	NW_005435086.1	0.807150765528	0.9434276206322796
Cvar	NW_005435087.1	0.72895737257	0.8892405063291139
Csub	NW_005178022.1	0.744402013459	0.8737864077669902
Csub	NW_005178023.1	0.732607677506	0.8677685950413223
Csub	NW_005178024.1	0.765361107074	0.8786764705882353
Csub	NW_005178025.1	0.864533640461	0.9368770764119602
Csub	NW_005178026.1	0.688689323186	0.8097345132743363
Csub	NW_005178027.1	0.822942947774	0.9389067524115756
Csub	NW_005178028.1	0.782200949321	0.8819188191881919
Csub	NW_005178029.1	0.765164823372	0.8845070422535212
Csub	NW_005178030.1	0.760307782097	0.8850931677018633
Csub	NW_005178031.1	0.841470799996	0.9341176470588235
Csub	NW_005178032.1	0.79050269774	0.8850267379679144
Csub	NW_005178033.1	0.802757568087	0.9238095238095239
Csub	NW_005178034.1	0.735248233796	0.8716707021791767
Csub	NW_005178035.1	0.744632393813	0.8637532133676092
Csub	NW_005178036.1	0.830855965712	0.9308300395256917
Csub	NW_005178037.1	0.787417548416	0.8888888888888888
Csub	NW_005178038.1	0.802440668696	0.8972602739726028
Csub	NW_005178039.1	0.809714875199	0.9104704097116844
Csub	NW_005178040.1	0.754200499525	0.8836065573770492
Csub	NW_005178041.1	0.797979962471	0.9278481012658227
Csub	NW_005178042.1	0.76810789275	0.8928136419001218
Mcom	NC_013038.1	0.837231932505	0.9440745672436751
Mcom	NC_013039.1	0.956676621525	0.9926160337552743
Mcom	NC_013040.1	0.949556811462	0.9918981481481481
Mcom	NC_013041.1	0.96609667313	0.9935979513444302
Mcom	NC_013042.1	0.95814868089	0.9946018893387314
Mcom	NC_013043.1	0.960392217692	0.9899425287356322
Mcom	NC_013044.1	0.967390577481	0.9971751412429378
Mcom	NC_013045.1	0.952467450079	0.9929824561403509
Mcom	NC_013046.1	0.954894744848	0.9984447900466563
Mcom	NC_013047.1	0.951535573396	0.9927536231884058
Mcom	NC_013048.1	0.943658677707	0.988391376451078
Mcom	NC_013049.1	0.93325366892	0.9901185770750988
Mcom	NC_013050.1	0.938299880902	0.9918533604887984
Oluc	NC_009355.1	0.979605892847	0.9970717423133236
